list-view-price,left,celly 3,celly 4,location,districk,neighborhood,room,living_room,area
41.000,Kiralık Daire,Sıfır Bina,2. Kat,İstanbul , Sarıyer , Huzur Mah.,2,1,100
32.000,Kiralık Daire,"45
                        Yaşında",2. Kat,İstanbul , Üsküdar , Aziz Mahmut Hüdayi Mah.,3,1,80
47.000,Kiralık Daire,"3
                        Yaşında",3. Kat,İstanbul , Kadıköy , Acıbadem Mah.,2,1,110
18.000,Kiralık Daire,"25
                        Yaşında",3. Kat,İstanbul , Beykoz , Göztepe Mah.,3,1,130
50.000,Kiralık Daire,"49
                        Yaşında",3. Kat,İstanbul , Sarıyer , Rumeli Kavağı Mah.,4,1,160
95.000,Kiralık Daire,"10
                        Yaşında",En Üst Kat,İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,300
125.000,Kiralık Residence,Sıfır Bina,8. Kat,İstanbul , Şişli , Teşvikiye Mah.,1,1,100
35.000,Kiralık Daire,"5
                        Yaşında",10. Kat,İstanbul , Başakşehir , Ziya Gökalp Mah.,1,1,90
25.000,Kiralık Residence,"1
                        Yaşında",7. Kat,İstanbul , Başakşehir , Başakşehir Mah.,1,1,75
55.000,Kiralık Residence,"11
                        Yaşında",13. Kat,İstanbul , Sarıyer , Maslak Mah.,1,1,85
35.000,Kiralık Daire,"4
                        Yaşında",21 ve üzeri,İstanbul , Ümraniye , Çakmak Mah.,1,1,51
70.000,Kiralık Daire,"6
                        Yaşında",1. Kat,İstanbul , Üsküdar , Mehmet Akif Ersoy Mah.,2,1,140
19.000,Kiralık Daire,"16
                        Yaşında",3. Kat,İstanbul , Bahçelievler , Kocasinan Merkez Mah.,2,1,90
180.000,Kiralık Villa,"14
                        Yaşında",,İstanbul , Sarıyer , Zekeriyaköy Mah.,7,2,350
120.000,Kiralık Daire,"85
                        Yaşında",1. Kat,İstanbul , Şişli , Teşvikiye Mah.,3,1,200
34.999,Kiralık Daire,"9
                        Yaşında",1. Kat,İstanbul , Şişli , Meşrutiyet Mah.,1,1,70
34.999,Kiralık Daire,"7
                        Yaşında",Ara Kat,İstanbul , Şişli , Meşrutiyet Mah.,1,1,85
330.000,Kiralık Daire,"40
                        Yaşında",Bahçe Katı,İstanbul , Adalar , Maden Mah.,4,1,145
80.000,Kiralık Daire,"40
                        Yaşında",7. Kat,İstanbul , Beşiktaş , Levazım Mah.,3,1,160
90.000,Kiralık Daire,"25
                        Yaşında",Yüksek Giriş,İstanbul , Sarıyer , Darüşşafaka Mah.,4,1,180
34.000,Kiralık Daire,Sıfır Bina,4. Kat,İstanbul , Şişli , Duatepe Mah.,1,1,50
90.000,Kiralık Residence,Sıfır Bina,3. Kat,İstanbul , Şişli , Teşvikiye Mah.,1,1,85
57.500,Kiralık Daire,"10
                        Yaşında",6. Kat,İstanbul , Sarıyer , Huzur Mah.,1,1,81
75.000,Kiralık Daire,"70
                        Yaşında",5. Kat,İstanbul , Beyoğlu , Kılıçali Paşa Mah.,3,1,212
48.000,Kiralık Daire,Sıfır Bina,3. Kat,İstanbul , Beyoğlu , Çukur Mah.,2,1,80
165.000,Kiralık Villa,"11
                        Yaşında",,İstanbul , Sarıyer , Kumköy Mah.,5,2,388
40.000,Kiralık Daire,"26
                        Yaşında",Bahçe Katı,İstanbul , Bakırköy , Basınköy Mah.,2,1,110
110.000,Kiralık Daire,Sıfır Bina,Ara Kat,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,200
80.000,Kiralık Villa,"11
                        Yaşında",,İstanbul , Sarıyer , Zekeriyaköy Mah.,2,1,140
77.000,Kiralık Daire,"20
                        Yaşında",3. Kat,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,220
115.000,Kiralık Daire,"23
                        Yaşında",3. Kat,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,260
