list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
41.000,Kiralık Daire,İstanbul , Sarıyer , Huzur Mah.,2,1,100,1,2
32.000,Kiralık Daire,İstanbul , Üsküdar , Aziz Mahmut Hüdayi Mah.,3,1,80,45,2
47.000,Kiralık Daire,İstanbul , Kadıköy , Acıbadem Mah.,2,1,110,3,3
18.000,Kiralık Daire,İstanbul , Beykoz , Göztepe Mah.,3,1,130,25,3
50.000,Kiralık Daire,İstanbul , Sarıyer , Rumeli Kavağı Mah.,4,1,160,49,3
95.000,Kiralık Daire,İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,300,10,5
125.000,Kiralık Residence,İstanbul , Şişli , Teşvikiye Mah.,1,1,100,1,8
35.000,Kiralık Daire,İstanbul , Başakşehir , Ziya Gökalp Mah.,1,1,90,5,10
25.000,Kiralık Residence,İstanbul , Başakşehir , Başakşehir Mah.,1,1,75,1,7
55.000,Kiralık Residence,İstanbul , Sarıyer , Maslak Mah.,1,1,85,11,13
35.000,Kiralık Daire,İstanbul , Ümraniye , Çakmak Mah.,1,1,51,4,21
70.000,Kiralık Daire,İstanbul , Üsküdar , Mehmet Akif Ersoy Mah.,2,1,140,6,1
19.000,Kiralık Daire,İstanbul , Bahçelievler , Kocasinan Merkez Mah.,2,1,90,16,3
180.000,Kiralık Villa,İstanbul , Sarıyer , Zekeriyaköy Mah.,7,2,350,14,0
120.000,Kiralık Daire,İstanbul , Şişli , Teşvikiye Mah.,3,1,200,85,1
34.999,Kiralık Daire,İstanbul , Şişli , Meşrutiyet Mah.,1,1,70,9,1
34.999,Kiralık Daire,İstanbul , Şişli , Meşrutiyet Mah.,1,1,85,7,3
330.000,Kiralık Daire,İstanbul , Adalar , Maden Mah.,4,1,145,40,1
80.000,Kiralık Daire,İstanbul , Beşiktaş , Levazım Mah.,3,1,160,40,7
90.000,Kiralık Daire,İstanbul , Sarıyer , Darüşşafaka Mah.,4,1,180,25,1
34.000,Kiralık Daire,İstanbul , Şişli , Duatepe Mah.,1,1,50,1,4
90.000,Kiralık Residence,İstanbul , Şişli , Teşvikiye Mah.,1,1,85,1,3
57.500,Kiralık Daire,İstanbul , Sarıyer , Huzur Mah.,1,1,81,10,6
75.000,Kiralık Daire,İstanbul , Beyoğlu , Kılıçali Paşa Mah.,3,1,212,70,5
48.000,Kiralık Daire,İstanbul , Beyoğlu , Çukur Mah.,2,1,80,1,3
165.000,Kiralık Villa,İstanbul , Sarıyer , Kumköy Mah.,5,2,388,11,0
40.000,Kiralık Daire,İstanbul , Bakırköy , Basınköy Mah.,2,1,110,26,1
110.000,Kiralık Daire,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,200,1,3
80.000,Kiralık Villa,İstanbul , Sarıyer , Zekeriyaköy Mah.,2,1,140,11,0
77.000,Kiralık Daire,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,220,20,3
115.000,Kiralık Daire,İstanbul , Bakırköy , Şenlikköy Mah.,4,1,260,23,3
14.000,Kiralık Daire,İstanbul , Fatih , Hırka-i Şerif Mah.,1,1,70,32,3
17.500,Kiralık Daire,İstanbul , Fatih , Koca Mustafapaşa Mah.,1,1,65,32,4
17.500,Kiralık Daire,İstanbul , Şişli , Halide Edip Adıvar Mah.,1,0,35,9,1
85.000,Kiralık Daire,İstanbul , Sarıyer , Maslak Mah.,3,1,205,8,10
22.000,Kiralık Daire,İstanbul , Bağcılar , Kirazlı Mah.,2,1,120,7,4
43.000,Kiralık Daire,İstanbul , Kadıköy , Bostancı Mah.,1,1,85,2,5
16.500,Kiralık Daire,İstanbul , Tuzla , Mimar Sinan Mah.,2,1,95,15,4
20.000,Kiralık Daire,İstanbul , Maltepe , Fındıklı Mah.,2,1,90,15,2
70.000,Kiralık Daire,İstanbul , Şişli , Cumhuriyet Mah.,3,1,175,50,2
20.000,Kiralık Daire,İstanbul , Bağcılar , Yıldıztepe Mah.,2,1,80,30,3
23.000,Kiralık Daire,İstanbul , Bayrampaşa , Terazidere Mah.,2,1,75,35,3
23.000,Kiralık Daire,İstanbul , Küçükçekmece , İstasyon Mah.,3,1,110,25,3
30.000,Kiralık Daire,İstanbul , Gaziosmanpaşa , Karlıtepe Mah.,4,1,180,30,5
100.000,Kiralık Daire,İstanbul , Kadıköy , Suadiye Mah.,3,1,127,4,5
17.000,Kiralık Daire,İstanbul , Esenyurt , Aşık Veysel Mah.,1,1,78,14,12
19.000,Kiralık Daire,İstanbul , Şişli , Harbiye Mah.,1,1,65,20,4
40.000,Kiralık Daire,İstanbul , Üsküdar , Bahçelievler Mah.,3,1,147,19,4
20.000,Kiralık Daire,İstanbul , Sarıyer , Büyükdere Mah.,1,1,55,28,1
35.000,Kiralık Daire,İstanbul , Tuzla , İstasyon Mah.,3,1,120,8,1
25.000,Kiralık Daire,İstanbul , Bayrampaşa , Muratpaşa Mah.,3,1,160,30,4
38.000,Kiralık Daire,İstanbul , Kartal , Atalar Mah.,3,1,140,15,5
15.500,Kiralık Daire,İstanbul , Silivri , İsmetpaşa Mah.,2,1,90,8,1
26.000,Kiralık Daire,İstanbul , Kartal , Topselvi Mah.,3,1,135,25,2
35.000,Kiralık Daire,İstanbul , Üsküdar , İcadiye Mah.,3,1,120,35,4
25.000,Kiralık Daire,İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,90,35,4
20.000,Kiralık Daire,İstanbul , Sarıyer , Darüşşafaka Mah.,1,1,70,30,1
