location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Sarıyer , Huzur Mah.,2,1,100,0,2,41000
İstanbul , Üsküdar , Aziz Mahmut Hüdayi Mah.,3,1,80,45,2,32000
İstanbul , Kadıköy , Acıbadem Mah.,2,1,110,3,3,47000
İstanbul , Beykoz , Göztepe Mah.,3,1,130,25,3,18000
İstanbul , Sarıyer , Rumeli Kavağı Mah.,4,1,160,49,3,50000
İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,300,10,5,95000
İstanbul , Şişli , Teşvikiye Mah.,1,1,100,0,8,125000
İstanbul , Başakşehir , Ziya Gökalp Mah.,1,1,90,5,10,35000
İstanbul , Başakşehir , Başakşehir Mah.,1,1,75,1,7,25000
İstanbul , Sarıyer , Maslak Mah.,1,1,85,11,13,55000
İstanbul , Ümraniye , Çakmak Mah.,1,1,51,4,21,35000
İstanbul , Üsküdar , Mehmet Akif Ersoy Mah.,2,1,140,6,1,70000
İstanbul , Bahçelievler , Kocasinan Merkez Mah.,2,1,90,16,3,19000
İstanbul , Sarıyer , Zekeriyaköy Mah.,7,2,350,14,0,180000
İstanbul , Şişli , Teşvikiye Mah.,3,1,200,85,1,120000
İstanbul , Şişli , Meşrutiyet Mah.,1,1,70,9,1,34999
İstanbul , Şişli , Meşrutiyet Mah.,1,1,85,7,3,34999
İstanbul , Adalar , Maden Mah.,4,1,145,40,1,330000
İstanbul , Beşiktaş , Levazım Mah.,3,1,160,40,7,80000
İstanbul , Sarıyer , Darüşşafaka Mah.,4,1,180,25,1,90000
İstanbul , Şişli , Duatepe Mah.,1,1,50,0,4,34000
İstanbul , Şişli , Teşvikiye Mah.,1,1,85,0,3,90000
İstanbul , Sarıyer , Huzur Mah.,1,1,81,10,6,57500
İstanbul , Beyoğlu , Kılıçali Paşa Mah.,3,1,212,70,5,75000
İstanbul , Beyoğlu , Çukur Mah.,2,1,80,0,3,48000
İstanbul , Sarıyer , Kumköy Mah.,5,2,388,11,0,165000
