location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Sarıyer , Huzur Mah.,2,1,100,0,2,41000,0.0017609078458227353,0.10176090784582274,0.093
İstanbul , Üsküdar , Aziz Mahmut Hüdayi Mah.,3,1,80,45,2,32000,0.0013695949911954608,0.10136959499119547,0.092
İstanbul , Kadıköy , Acıbadem Mah.,2,1,110,3,3,47000,0.002021783082240918,0.10202178308224093,0.093
İstanbul , Beykoz , Göztepe Mah.,3,1,130,25,3,18000,0.0007608861062197005,0.0007608861062197005,0.001
İstanbul , Sarıyer , Rumeli Kavağı Mah.,4,1,160,49,3,50000,0.00215222070045001,0.10215222070045002,0.093
İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,300,10,5,95000,0.004108784973586382,0.10410878497358639,0.095
İstanbul , Şişli , Teşvikiye Mah.,1,1,100,0,8,125000,0.005413161155677297,0.10541316115567731,0.096
İstanbul , Başakşehir , Ziya Gökalp Mah.,1,1,90,5,10,35000,0.0015000326094045523,0.0015000326094045523,0.001
İstanbul , Başakşehir , Başakşehir Mah.,1,1,75,1,7,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Sarıyer , Maslak Mah.,1,1,85,11,13,55000,0.0023696167307984957,0.1023696167307985,0.093
İstanbul , Ümraniye , Çakmak Mah.,1,1,51,4,21,35000,0.0015000326094045523,0.0015000326094045523,0.001
İstanbul , Üsküdar , Mehmet Akif Ersoy Mah.,2,1,140,6,1,70000,0.003021804821843953,0.10302180482184396,0.094
İstanbul , Bahçelievler , Kocasinan Merkez Mah.,2,1,90,16,3,19000,0.0008043653122893976,0.0008043653122893976,0.001
İstanbul , Sarıyer , Zekeriyaköy Mah.,7,2,350,14,0,180000,0.007804517489510642,0.10780451748951064,0.098
İstanbul , Şişli , Teşvikiye Mah.,3,1,200,85,1,120000,0.005195765125328811,0.10519576512532881,0.096
İstanbul , Şişli , Meşrutiyet Mah.,1,1,70,9,1,34999,0.0014999891301984826,0.10149998913019849,0.092
İstanbul , Şişli , Meşrutiyet Mah.,1,1,85,7,3,34999,0.0014999891301984826,0.10149998913019849,0.092
İstanbul , Adalar , Maden Mah.,4,1,145,40,1,330000,0.014326398399965216,0.014326398399965216,0.013
İstanbul , Beşiktaş , Levazım Mah.,3,1,160,40,7,80000,0.0034565968825409246,0.10345659688254093,0.094
İstanbul , Sarıyer , Darüşşafaka Mah.,4,1,180,25,1,90000,0.0038913889432378966,0.1038913889432379,0.094
İstanbul , Şişli , Duatepe Mah.,1,1,50,0,4,34000,0.001456553403334855,0.10145655340333486,0.092
İstanbul , Şişli , Teşvikiye Mah.,1,1,85,0,3,90000,0.0038913889432378966,0.1038913889432379,0.094
İstanbul , Sarıyer , Huzur Mah.,1,1,81,10,6,57500,0.0024783147459727386,0.10247831474597274,0.093
İstanbul , Beyoğlu , Kılıçali Paşa Mah.,3,1,212,70,5,75000,0.003239200852192439,0.10323920085219244,0.094
İstanbul , Beyoğlu , Çukur Mah.,2,1,80,0,3,48000,0.0020652622883106154,0.10206526228831062,0.093
İstanbul , Sarıyer , Kumköy Mah.,5,2,388,11,0,165000,0.007152329398465184,0.1071523293984652,0.097
İstanbul , Bakırköy , Basınköy Mah.,2,1,110,26,1,40000,0.001717428639753038,0.10171742863975304,0.092
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,200,0,3,110000,0.00476097306463184,0.10476097306463185,0.095
İstanbul , Sarıyer , Zekeriyaköy Mah.,2,1,140,11,0,80000,0.0034565968825409246,0.10345659688254093,0.094
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,220,20,3,77000,0.0033261592643318333,0.10332615926433183,0.094
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,260,23,3,115000,0.0049783690949803255,0.10497836909498033,0.095
İstanbul , Fatih , Hırka-i Şerif Mah.,1,1,70,32,3,14000,0.0005869692819409117,0.10058696928194091,0.091
İstanbul , Fatih , Koca Mustafapaşa Mah.,1,1,65,32,4,17500,0.0007391465031848518,0.10073914650318486,0.092
İstanbul , Şişli , Halide Edip Adıvar Mah.,1,0,35,9,1,17500,0.0007391465031848518,0.10073914650318486,0.092
İstanbul , Sarıyer , Maslak Mah.,3,1,205,8,10,85000,0.003673992912889411,0.10367399291288942,0.094
İstanbul , Bağcılar , Kirazlı Mah.,2,1,120,7,4,22000,0.0009348029304984891,0.0009348029304984891,0.001
İstanbul , Kadıköy , Bostancı Mah.,1,1,85,2,5,43000,0.0018478662579621296,0.10184786625796213,0.093
İstanbul , Tuzla , Mimar Sinan Mah.,2,1,95,15,4,16500,0.0006956672971151547,0.0006956672971151547,0.001
İstanbul , Maltepe , Fındıklı Mah.,2,1,90,15,2,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Şişli , Cumhuriyet Mah.,3,1,175,50,2,70000,0.003021804821843953,0.10302180482184396,0.094
İstanbul , Bağcılar , Yıldıztepe Mah.,2,1,80,30,3,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Bayrampaşa , Terazidere Mah.,2,1,75,35,3,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Küçükçekmece , İstasyon Mah.,3,1,110,25,3,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Gaziosmanpaşa , Karlıtepe Mah.,4,1,180,30,5,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Kadıköy , Suadiye Mah.,3,1,127,4,5,100000,0.004326181003934868,0.10432618100393487,0.095
İstanbul , Esenyurt , Aşık Veysel Mah.,1,1,78,14,12,17000,0.0007174069001500032,0.0007174069001500032,0.001
