living_room,area,age,floor,price
1,100,0,2,41000
1,80,45,2,32000
1,110,3,3,47000
1,130,25,3,18000
1,160,49,3,50000
1,75,1,7,25000
1,140,6,1,70000
1,90,16,3,19000
1,70,9,1,34999
1,85,7,3,34999
1,160,40,7,80000
1,180,25,1,90000
1,50,0,4,34000
1,85,0,3,90000
1,81,10,6,57500
1,80,0,3,48000
1,110,26,1,40000
1,140,11,0,80000
1,220,20,3,77000
1,70,32,3,14000
1,65,32,4,17500
1,120,7,4,22000
1,85,2,5,43000
1,95,15,4,16500
1,90,15,2,20000
1,175,50,2,70000
1,80,30,3,20000
1,75,35,3,23000
1,110,25,3,23000
1,180,30,5,30000
1,127,4,5,100000
1,65,20,4,19000
1,147,19,4,40000
1,55,28,1,20000
1,120,8,1,35000
1,160,30,4,25000
1,140,15,5,38000
1,90,8,1,15500
1,135,25,2,26000
1,120,35,4,35000
1,90,35,4,25000
1,70,30,1,20000
1,75,60,1,36000
1,85,38,3,35000
1,115,13,5,20000
1,110,27,3,36000
1,86,15,1,28000
1,50,35,1,13000
1,80,25,1,14000
1,25,30,-1,10000
1,80,16,1,18000
1,106,0,8,29000
1,80,25,1,17000
1,120,45,5,75000
1,160,30,2,20000
1,70,20,1,30000
1,90,35,1,11000
1,90,35,1,15000
1,55,9,2,42500
1,80,0,3,42000
1,125,30,2,25000
1,95,31,2,29500
1,70,0,-1,43000
1,80,31,1,28000
1,58,13,3,35000
1,125,25,3,47500
1,165,30,7,70000
1,130,28,8,33000
1,90,7,1,24000
1,55,7,1,29000
1,93,5,2,19500
1,90,28,1,17000
1,100,10,1,11000
1,148,11,8,80000
1,170,13,1,72000
1,90,42,1,40000
1,90,5,2,24500
1,85,15,6,25000
1,85,16,1,13000
1,110,26,3,55000
1,70,4,1,52000
1,80,0,4,33000
1,70,4,1,52000
1,110,30,-3,25000
1,160,35,1,50000
1,90,3,2,25000
1,82,0,1,17000
1,75,8,1,17500
1,130,30,2,45000
1,150,9,4,25250
1,70,8,1,35000
1,75,38,1,15000
1,90,31,1,31000
1,85,20,3,23000
1,175,26,5,51000
1,130,2,1,40000
1,57,7,3,32000
1,115,35,2,35000
1,220,25,4,70000
1,75,0,1,31000
1,90,15,1,38000
1,130,15,3,21000
1,44,8,6,26000
1,120,26,1,55000
1,148,27,4,45000
1,110,35,7,44000
1,95,30,2,25000
1,120,40,2,45000
1,126,26,4,35000
1,120,25,2,25000
1,140,14,7,29000
1,110,20,0,35000
1,120,8,6,17000
1,70,6,3,29000
1,75,4,1,22000
1,63,1,3,23500
1,125,8,1,15000
1,90,40,5,30000
1,90,40,5,32500
1,135,26,5,30000
1,200,25,3,60000
1,115,31,1,22000
1,85,30,1,18000
1,147,19,4,40000
1,80,4,8,35000
1,115,0,8,32000
1,90,13,4,90000
1,65,40,1,13000
1,100,10,5,30000
1,70,25,5,45000
1,130,30,3,25000
1,75,9,7,14000
1,105,3,3,16750
1,85,37,4,25000
1,65,35,1,18000
1,60,8,4,20000
1,70,5,2,25000
1,90,5,1,42000
1,100,20,2,30000
1,200,23,5,35000
1,80,10,1,18000
1,75,30,5,35000
1,140,13,3,70000
1,75,8,6,18000
1,100,30,2,50000
1,125,12,7,85000
1,95,0,1,22000
1,78,7,1,25000
1,60,5,1,43000
1,160,9,3,25000
1,85,0,2,58000
1,165,35,5,95000
1,195,10,1,95000
1,190,38,2,55000
1,107,2,3,20000
1,180,8,5,25000
1,110,25,3,23500
1,140,12,1,30000
1,127,55,2,50000
1,90,20,5,18000
1,71,7,3,66000
1,110,32,1,13500
1,120,30,2,35000
1,80,10,4,55000
1,90,38,1,17500
1,150,0,3,60000
1,80,0,7,75000
1,140,30,3,80000
1,105,1,1,62000
1,90,40,2,30000
1,85,35,1,28000
1,90,30,1,26000
1,170,25,4,20500
1,125,19,2,35000
1,90,25,5,18000
1,85,40,3,14500
1,145,9,1,80000
